collect_date,n_sgtf,n_all,perc_sgtf,d
2021-11-29,2,362,0.5524861878453038,1
2021-11-30,1,260,0.38461538461538464,2
2021-12-01,1,179,0.5586592178770949,3
2021-12-06,9,289,3.1141868512110724,8
2021-12-07,16,202,7.920792079207921,9
2021-12-08,28,227,12.334801762114537,10
2021-12-09,31,207,14.975845410628018,11
2021-12-10,58,272,21.323529411764707,12
2021-12-11,33,189,17.46031746031746,13
2021-12-12,17,57,29.82456140350877,14
2021-12-13,128,331,38.670694864048336,15
2021-12-14,152,301,50.498338870431894,16
2021-12-15,165,264,62.5,17
2021-12-16,199,300,66.33333333333333,18
2021-12-17,251,360,69.72222222222221,19
2021-12-18,252,328,76.82926829268293,20
2021-12-19,143,189,75.66137566137566,21
2021-12-20,590,684,86.25730994152046,22
2021-12-21,227,244,93.0327868852459,23
2021-12-22,35,39,89.74358974358975,24
2021-12-23,258,289,89.27335640138409,25
2021-12-24,325,385,84.4155844155844,26
2021-12-26,10,13,76.92307692307693,28
2021-12-27,59,69,85.5072463768116,29
2021-12-28,2,2,100,30
2021-12-29,131,148,88.51351351351352,31
2021-12-30,94,97,96.90721649484536,32
2021-12-31,327,379,86.2796833773087,33
2022-01-01,52,65,80,34
2022-01-02,253,313,80.83067092651757,35
2022-01-03,5,10,50,36
2022-01-04,78,83,93.97590361445783,37
